region,age,density
Western Europe,3.95604,0.11475
Western Europe,3.94106,0.11475
Western Europe,3.92607,0.11475
Western Europe,3.91109,0.11475
Western Europe,3.8961,0.11475
Western Europe,3.88112,0.11475
Western Europe,3.86613,0.11476
Western Europe,3.85115,0.11486
Western Europe,3.83616,0.11548
Western Europe,3.82118,0.11743
Western Europe,3.80619,0.12027
Western Europe,3.79121,0.12212
Western Europe,3.77622,0.12212
Western Europe,3.76124,0.12027
Western Europe,3.74625,0.11743
Western Europe,3.73127,0.11548
Western Europe,3.71628,0.11486
Western Europe,3.7013,0.11475
Western Europe,3.68631,0.11465
Western Europe,3.67133,0.11403
Western Europe,3.65634,0.11208
Western Europe,3.64136,0.10923
Western Europe,3.62637,0.10729
Western Europe,3.61139,0.10666
Western Europe,3.5964,0.10656
Western Europe,3.58142,0.10656
Western Europe,3.56643,0.10656
Western Europe,3.55145,0.10655
Western Europe,3.53646,0.10646
Western Europe,3.52148,0.10583
Western Europe,3.50649,0.10388
Western Europe,3.49151,0.10103
Western Europe,3.47652,0.09899
Western Europe,3.46154,0.09773
Western Europe,3.44655,0.09568
Western Europe,3.43157,0.09274
Western Europe,3.41658,0.09016
Western Europe,3.4016,0.08758
Western Europe,3.38661,0.08455
Western Europe,3.37163,0.08197
Western Europe,3.35664,0.07939
Western Europe,3.34166,0.07635
Western Europe,3.32667,0.07377
Western Europe,3.31169,0.0712
Western Europe,3.2967,0.06826
Western Europe,3.28172,0.0663
Western Europe,3.26673,0.06568
Western Europe,3.25175,0.06558
Western Europe,3.23676,0.06557
Western Europe,3.22178,0.06557
Western Europe,3.20679,0.06557
Western Europe,3.19181,0.06547
Western Europe,3.17682,0.06485
Western Europe,3.16184,0.0629
Western Europe,3.14685,0.06005
Western Europe,3.13187,0.05811
Western Europe,3.11688,0.05748
Western Europe,3.1019,0.05738
Western Europe,3.08691,0.05738
Western Europe,3.07193,0.05738
Western Europe,3.05694,0.05738
Western Europe,3.04196,0.05738
Western Europe,3.02697,0.05748
Western Europe,3.01199,0.05811
Western Europe,2.997,0.06005
Western Europe,2.98202,0.0629
Western Europe,2.96703,0.06485
Western Europe,2.95205,0.06557
Western Europe,2.93706,0.0663
Western Europe,2.92208,0.06825
Western Europe,2.90709,0.07109
Western Europe,2.89211,0.07305
Western Europe,2.87712,0.07377
Western Europe,2.86214,0.07449
Western Europe,2.84715,0.07645
Western Europe,2.83217,0.07939
Western Europe,2.81718,0.08197
Western Europe,2.8022,0.08454
Western Europe,2.78721,0.08748
Western Europe,2.77223,0.08944
Western Europe,2.75724,0.09007
Western Europe,2.74226,0.09026
Western Europe,2.72727,0.09089
Western Europe,2.71229,0.09284
