study,group,x,y
NielsenHB_2014,IBD,0.3620596205962059,0.5222222222222223
NielsenHB_2014,IBD,0.2737127371273713,0.4693766937669376
NielsenHB_2014,IBD,0.27046070460704613,0.4639566395663957
NielsenHB_2014,IBD,0.275880758807588,0.4639566395663957
NielsenHB_2014,IBD,0.21761517615176149,0.41815718157181564
NielsenHB_2014,IBD,0.1886178861788618,0.37398373983739835
NielsenHB_2014,IBD,0.2556910569105691,0.36869918699186993
NielsenHB_2014,IBD,0.27425474254742543,0.3663956639566396
NielsenHB_2014,IBD,0.06471544715447157,0.35154471544715443
NielsenHB_2014,IBD,0.17682926829268292,0.3524390243902439
NielsenHB_2014,IBD,0.133130081300813,0.3408536585365854
NielsenHB_2014,IBD,0.1289972899728997,0.3376693766937669
NielsenHB_2014,IBD,0.2764227642276423,0.33699186991869917
NielsenHB_2014,IBD,0.2766260162601626,0.333130081300813
NielsenHB_2014,IBD,0.03300813008130083,0.3226016260162602
NielsenHB_2014,IBD,0.22222222222222227,0.3214092140921409
NielsenHB_2014,IBD,0.19849012775842043,0.31451800232288035
NielsenHB_2014,IBD,0.15311653116531168,0.3173441734417344
NielsenHB_2014,IBD,0.2223207686622321,0.31633407243163336
NielsenHB_2014,IBD,0.040162601626016245,0.3065040650406504
NielsenHB_2014,IBD,0.2975609756097561,0.2894308943089431
NielsenHB_2014,IBD,-0.05342624854819973,0.28757259001161434
NielsenHB_2014,IBD,-0.15603252032520326,0.2815609756097561
NielsenHB_2014,IBD,0.08325203252032519,0.2788617886178862
NielsenHB_2014,IBD,0.1902439024390244,0.27595818815331014
NielsenHB_2014,IBD,0.2808943089430894,0.2764227642276423
NielsenHB_2014,IBD,0.007665505226480849,0.27549361207897793
NielsenHB_2014,IBD,0.0910569105691057,0.2731707317073171
NielsenHB_2014,IBD,0.034396497811131924,0.26041275797373353
NielsenHB_2014,IBD,-0.2056910569105691,0.26097560975609757
NielsenHB_2014,IBD,-0.17344173441734415,0.2579945799457995
NielsenHB_2014,IBD,-0.033658536585365835,0.2517886178861789
