id,group,title,source
179,sample-stm6,T4 · Topic 4 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_4/Topic 4 Word Cloud.png
180,sample-stm6,T4 · Topic 4 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_4/Topic 4 Word Distribution.png
181,sample-stm6,T4 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_4/Topic Evolution.png
182,sample-stm6,T5 · Topic 5 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_5/Topic 5 Word Cloud.png
183,sample-stm6,T5 · Topic 5 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_5/Topic 5 Word Distribution.png
184,sample-stm6,T5 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_5/Topic Evolution.png
185,sample-stm6,T6 · Topic 6 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_6/Topic 6 Word Cloud.png
186,sample-stm6,T6 · Topic 6 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_6/Topic 6 Word Distribution.png
187,sample-stm6,T6 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_6/Topic Evolution.png
188,threshold015,Circular correlation network,reference-style-20260908/threshold-015/en/global/topic_network_circular.png
